CODE;RAISON SOCIALE;ADRESSE;CP;VILLE;TEL.;FAX; EMAIL;ACTIF;REGLEMENT
ADA2;A.D.E.L. SAS  DDA 07;10 AVENUE JEAN MOULIN  ;69720;ST LAURENT DE MURE;04 72 48 88 36;04 72 48 11 11;L.Jason@trans.org;Oui;CHEQUE A RECEPTION FACTURE
ASL0;A.S.LANDES;336 ROUTE DE GENAS  ;69370;BRON;04 78 26 67 67;;UnityL@trans.org;Oui;CHEQUE A RECEPTION FACTURE
ASP0;A.S.P BATIMAT;5 RUE DU STADE  ;38460;ST ROMAIN DE JALIONAS;04.74.90.19.79;04.74.90.22.58;MaiaR@orange.fr;Oui;CHEQUE A RECEPTION FACTURE
ATI0;A.T Intervention; 27,RUE AMBROISE PAREE ;69740;GENAS;04.72.47.37.40;04.72.47.37.49;MacKenzie.Colton@orange.fr;Oui;CHEQUE A RECEPTION FACTURE
ATM0;A.T Marche; 60 AVENUE JEAN MERMOZ ;69372;LYON CEDEX 08;04 78 77 06 08;04 78 77 06 46;MichelleD@export.com;Oui;CHEQUE A RECEPTION FACTURE
ATP0;A.T.P.Info;20 BIS RUE BARNAVE  ;38400;ST MARTIN D'HERES;04.76.10.34.67;04.76.10.39.91;AikoM@services.fr;Oui;CHEQUE A RECEPTION FACTURE
A2A0;A2A LOCATION;RUE DU BREIL BP 29 ;35574;CHANTEPIE;02.99.26.14.20;;Lenore.Philip@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
ABB0;ABB MINGOU;CITEE DE LYON 131 AVENUE THIERS ;69006;LYON;04 78 68 03 25;04 78 52 31 41;KimG@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
ABB1;ABB TRANS PRESTO;CHEMIN DU 1 ER GUA  ;38290;LA VERPIERE;04.74.95.53.43;04.74.95.63.10;DeannaW@media.org;Oui;CHEQUE A RECEPTION FACTURE
LAB0;ABBY TRAVAUX;;69370;BRON;04.72.22.54.40;04.72.74.04.79;adm@aero-trans.fr;Oui;CHEQUE A RECEPTION FACTURE
ABC01;ABC VOPOIX;8 RUE DE L'INDUSTRIE  ;61100;ST PRIEST;;04.24.37.27.91;T.Stewart@orange.fr;Oui;CHEQUE A RECEPTION FACTURE
ABD0;ABD KALOO;4 BIS RUE HENRI BECQUEREL CS 10013 ;69747;GENAS CEDEX;04.72.79.10.30;04.72.79.10.39;C.Erich@export.com;Oui;CHEQUE A RECEPTION FACTURE
ABG0;ABG TRAVAUX;ZAC DE MIGALON RUE CHARLES VOISIN BP 99;42162;ANDREZIEUX BOUTHEON;04.77.02.03.20;04.77.02.03.21;I.Odysseus@services.fr;Oui;CHEQUE A RECEPTION FACTURE
DAB0;ABUSSE TP;33 ROUTE D'HEYRIEUX  ;69780;TOUSSIEU;04.72.48.08.08;04.72.48.27.61;Sasha.Jesse@media.org;Oui;CHEQUE A RECEPTION FACTURE
CAR7;ACATIER S.A.;RUE DES SAPHIRS  ;38283;VILLETTE D'ANTHON;04 72 02 58 43;04.72.02.58.36;Priscilla.Merrill@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
ACR01;ACR RUBY;RUE DES SAPHIRS  ;38283;VILLETTE D'ANTHON;;;CallyM@media.org;Oui;CHEQUE A RECEPTION FACTURE
ACS0;ACS TRAVAUX;5 RUE JEAN RESTAND  ;69740;GENAS;04.72.79.39.75;04.72.79.39.70;NoelA@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
CARGO;ACTIGO LYON CENTRE;16 RUE NICEPHORE NIEPCE B.P. 156 ;61101;SAINT-PRIEST CEDEX;04.72.28.12.12;04 72 28 12 13;NelleB@ets.com;Oui;CHEQUE A RECEPTION FACTURE
ACT3;ACTIS; 61 RUE ANTOINE PRIMAT ;69100;VILLEURBANNE;;04 37 42 17 18;04.37.42.17.17;Oui;CHEQUE A RECEPTION FACTURE
ACT0;ACTU CONCEPT;ROUTE DE PONT D'AIN  ;1320;CHALAMONT;04 74 46 99 83;04 74 46 92 48;CarynA@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
ACT1;ACTUA NICE;ROUTE DE GENEVE  ;1137;LEYMENT;04 74 34 92 22;04 74 34 93 55;Nayda.Tobias@ets.com;Oui;CHEQUE A RECEPTION FACTURE
AD3;AD3SSO;ZONE ARTISANALE  ;1800;VILLIEU LOYES MOLLON;04 74 61 43 09;;Daria.Oren@sfr.fr;Oui;CHEQUE A RECEPTION FACTURE
ADB01;ADB PRESTO;Z.I NORD RUE GUSTAVE EIFFEL ;13340;ROGNAC;04.42.87.71.23;04.42.78.76.10;Alice.Garrison@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
AERO0;AERO TRANS 38;77 RUE ALEXANDRE DUMAS  ;69120;VAULX EN VELIN;04.26.42.00.02;04.37.42.00.16;Nyssa.Stuart@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
AIRO0;AEROCLEAN;290 FERDINENT PERRIER  ;61100;ST PRIEST;06.99.61.59.61;04.69.96.52.73;Barbara.Brady@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
AFRAC;AFAC SERVICE;8,ALLEE ROUGET DE LISLE  ;1400;CHATILLONS S/ CHALARONNE;06.69.01.82.66;;YuriA@ets.com;Oui;CHEQUE A RECEPTION FACTURE
AFCA0;AFCA-V2;21 RUE DE PROVENCE  ;61100;ST PRIEST;04 72 80 97 26;04 72 80 97 23;JanaO@sfr.fr;Oui;CHEQUE A RECEPTION FACTURE
FOR0;AFRANKA SAS;RUE DE LA GROSNE ZI SUD  BP  2039 ;71020;MACON CEDEX 9;03.85.29.61.00;03.85.29.61.12;Brittany.Lars@export.com;Oui;CHEQUE A RECEPTION FACTURE
AFS0;AFS PRESTO;ARCADES DES ABBAYES ;13127;VITROLLES;06.78.58.42.42;;Haviva.Armando@services.fr;Oui;CHEQUE A RECEPTION FACTURE
AFT1;AFT/CFA Lyon;ZI LA BAISSONNADE  ;12437;LA PRIMAUBE;05.65.75.53.00;05.65.68.06.80;QuintessaH@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
AFT0;AFTRALIO;1 RUE LAVOISIER  ;21200;BEAUNE;03.80.25.32.00;03.80.25.32.29;;Oui;CHEQUE A RECEPTION FACTURE
APS0;AGENCE SERVICE 25;ZA ECOPOLE B.P. 54 ;13558;LA MARTIN DE CRAU CEDEX;;04 72 31 75 45;0826.10.17.02;Oui;CHEQUE A RECEPTION FACTURE
AGI1;AGIR SAS; Z.I. DU LANTEY ;38100;MORESTEL;04 74 80 12 41;04 74 80 19 68;ShelleyL@wanadoo.fr;Oui;CHEQUE A 30 JFM LE 15
AGI0;AGIR38;49 RUE DE SAINT CYR  ;69009;LYON;04.78.47.18.03;04.78.64.60.45;YolandaG@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
AGR0;AGRI TRANS;BP 66  ;38372;VOIRON CEDEX;04.76.67.16.37;04.76.05.83.31;Sandra.Kenneth@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
AGRI0;AGRICO; 11,RUE POIZAT ;69100;VILLEURBANNE;04.72.91.23.30;04.72.36.02.64;W.Carl@groupe.com;Oui;CHEQUE A L'ENLEVEMENT
LOG2;AGRO'SUD;9 AVENUE DU PONT DE TASSET  ;74960;MEYTHET;04 72 66 31 77;04 72 39 03 16;M.Carl@media.org;Oui;CHEQUE A RECEPTION FACTURE
BRA2;AILLONI BTP;39 BL AMBROISE PARE   ;69008;LYON ;04.72.10.67.89;04.72.00.04.66;K.Drew@societe.fr;Oui;CHEQUE A L'ENLEVEMENT
AIR2;AIR DEVELOPPEMENT S.A.R.L;290 RUE FERDINAND PERRIER PARC ARIANE 2 ;61100;ST PRIEST;04.72.37.11.62;MME 06.09.78.76.5;IllianaO@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
AIR1;AIR PROTECTION;RUE DU RUISSEAU Z.I DE THARABIE BP 722 ;38297;ST QUENTIN DE FALLAVIER;04 74 95 58 27;04 74 95 69 81;BethanyP@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
BRA1;AKE FRANCE SERVICE;29, RUE ROGER SALENGRO  ;69200;VENISSIEUX;04.78.00.22.67;04.78.09.05.97;Winifred.Aidan@ets.com;Oui;CHEQUE A RECEPTION FACTURE
AKXIO;AKKONIS;22 RUE DES CAPUCINS B.P. 1529 ;69204;LYON CEDEX 01;;;JadeA@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
CHA30;ALAYE SAS; ZI DU CAINTIN ;42137;LA RICAMARIE;04.77.59.26.60;;SMufutau@wanadoo.fr;Oui;CHEQUE A L'ENLEVEMENT
ALG0;ALGED - STE;3 AVENUE DE LA RIZE  ;69100;VILLEURBANNE;04 78 80 40 40;04 78 80 11 18;A.Timothy@ets.com;Oui;CHEQUE A RECEPTION FACTURE
ALL4;ALL MILLO ;201 RUE LEON JOUHAUX B.P.  469 ;69659;VILLEFRANCE/SAONE CEDEX;04 74 62 79 04;04 74 62 79 74;A.Vaughan@sfr.fr;Oui;CHEQUE A RECEPTION FACTURE
ALL1;ALLIROL;CHEMIN DE CHANAY ZI DU CHANAY ;69720;ST BONNET DE MURE;04.78.90.57.57;04.78.90.99.84;N.Edan@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
ALL0;ALL'PRICE;21-23, AVENUE LEFEVRE  ;69120;VAULX EN VELIN;04.78.79.14.14;04.72.04.61.16;H.Valentine@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
LAC0;ALMONTIEZ;54 RUE DE LA GARDE  ;69360;COMMUNAY;04 72 49 89 72;04 72 49 89 71;DMark@media.org;Oui;CHEQUE A RECEPTION FACTURE
AET0;ALP TRAVAUX; ZAC DE LA TRANCHE ;4180;VILLENEUVE;04 92 78 41 05;04 92 78 58 92;InezJ@sfr.fr;Oui;CHEQUE A RECEPTION FACTURE
ALP1;ALPAC 69;15 RUE DU LUIZAIS BP 27 ;38291;ST QUENTIN FALLAVIER;04.74.82.42.07;04.74.82.64.11;LareinaE@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
ALP2;ALPES GARAGE;XXXXXXXXXXXXXXXXXXXXXXXXXXXX  ;69740;XXXXXXXXXXXXXXXXXXXXXXXX;04.72.47.65.90;;RayaT@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
LUP0;ALPROTEC SA; 1 RUE DES CHAPELLES ;38070;ST QUENTIN FALLAVIER;04 72 95 40 80;04 72 28 42 32;FrancescaJ@media.org;Oui;CHEQUE A RECEPTION FACTURE
ANT3;ALTEO FRANCE;CHEMIN DE LA CALATIERE VEYZIAT ;1200;OYONNAX;04.74.12.12.82;04.74.81.32.74;SharonB@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
ATL74;ALTI 74;VOIE AUTRICHE ZI L ANJOLY ;13127;VITROLLES;04.42.41.52.90;04.48.41.52.99;;Oui;CHEQUE A RECEPTION FACTURE
ALT3;ALTRA 13 ; 46 RUE VICTOR HUGO ;69200;VENISSIEUX;06.72.58.64.24;04.72.37.28.77;;Oui;CHEQUE A RECEPTION FACTURE
ALT2;ALTRANS 01; BP15 ;61190;LA TOUR DE SALVIGNY;04.78.43.56.38;04.78.43.56.96;DorothyI@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
DAL01;ALTYS;ROUTE DE STE COLOMBE LE POTEAU ;42540;ST JUST LA PENDUE;04 77 63 58 03;04 77 63 58 03;AngelaD@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
LYR;ALYRECO ;LES COLLONGES  ;69630;CHAPONOST;04.78.45.56.20;04 78 45 23 18;Adara.Matthew@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
AMBI0;AMBIANCE 77;7 ALLEE TITOUAN LAMAZOU CS 60010 OLONNE SUR MER;81009;LES SABLES D'OLONNE;04.72.91.79.06;04.72.91.38.39;I.Kasper@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
LAM5;AMI ALPES;4 ALLEE DES PINCONS  ;69330;JONAGE;;;O.Judah@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
AMS0;AMSILU  S.A.;ZI DE L'ONZION 16 RUE QUARTIER MOULIN ;42152;L'HORME;04.77.29.14.26;04.77.29.00.84;A.Kenyon@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
ANDR0;; B.P. 13 ;67158;ERSTEIN CEDEX;04 72 15 62 10;04 72 15 60 16;Y.Berk@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
ANG0;ANGLE TRAVAUX;17, RUE ANATOLE FRANCE  ;69120;VAULX EN VELIN;04.78.80.31.33;04.78.04.29.79;CharissaI@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
ANJY0;ANJY SERVICES;49 ALLEE DES MYOSOTIS RUE LAMARTINE ;69120;VAULX EN VELIN;04 78 80 89 18;;JudithF@gmail.com;Oui;CHEQUE A 30 JFM LE 15
ANN0;ANNECY TRANS;11 ALLEE DES TILLIEUX  ;21580;GRANCEY LE CHATEAU ;;;OriC@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
ANT0;ANTANIO;7, RUE JULES FERRY ZI DU PONTET ;69360;ST SYMPHORIEN D OZON;04.78.02.02.36;;B.Kadeem@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
CHA18;ANTEAU SARL; 907 ROUTE DE L'OZON ;42437;SURY LE COMTAL;04.77.36.52.38;IDEM TEL;M.Eric@media.org;Non;CHEQUE A RECEPTION FACTURE
APE;AP PRESTO; 6 RUE DE LA PLACE ;11360;VILLESEQUE DES CORBIERES;06.33.77.02.09;;G.Phelan@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
PAP0;APPALINO TRAVAUX;18 PARC DES MINIMES  ;1090;MONTMERLE SUR SAONE;06 09 02 73 62;04 74 69 35 96;E.Merrill@ets.com;Oui;CHEQUE A RECEPTION FACTURE
PAPR0;APREC ISERE; 19 RUE MARIE CURIE ;26100;ROMANS SUR ISERE;04.75.71.05.55;04.75.02.74.35;LaraB@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
ATS1;APRO TRAVAUX ;7 RUE GUSTAVE EIFFEL ZAE DES CESARDES  BP 92 ;74603;SEYNOD CEDEX;04.37.52.10.74;04.37.52.10.22;;Oui;CHEQUE A RECEPTION FACTURE
APRO0;APROLIA;1190 AVENUE DE LOSSBURG ZI SUD BP 22 ;69480;ANSE;04.74.60.25.04;04.74.60.29.11;;Oui;CHEQUE A RECEPTION FACTURE
CHA23;ARCHAMP; D109 ;38260;MARCILLOLES;04 74 54 08 82;04 74 54 11 41;Neve.Leonard@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
ARC0;ARCHER TRAVAUX;485 AVENUE DE LA MICHELETTE  ;84300;TAILLADES;04 90 06 26 55;04 90 78 20 39;KristenD@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
ARCHE;ARCHER TRAVAUX;ATLANTIC PARC 4 ROUTE DE PITOYS ;64600;ANGLET;559314181;559424971;QuonY@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
ARC1;ARCONOTOS; B.P. 6019 ;69104;VILLEURBANNE CEDEX;04 78 93 04 74;;RoannaV@media.org;Oui;CHEQUE A RECEPTION FACTURE
MAR24;ARCUCCI;ATLANTIC PARC 4 ROUTE DE PITOYS ;64600;ANGLET;05.59.31.41.81.;05.59.42.49.71;Lacota.Alvin@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
RAM1;ARDAMBON;1 RUE DU CANAL  ;69100;VILLEURBANNE;;;HallaR@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
BAY0;ARDECHE BAC;306 ROUTE DE LA CHARRIERE  ;38490;FITILIEU;04.76.93.14.81;04 76 32 02 08;BeatriceP@services.fr;Oui;CHEQUE A RECEPTION FACTURE
BRE01;AREGER TRAVAUX;41 RUE DES FRERES MONTGOLFIER  ;69680;CHASSIEU;04.72.00.10.60;04.78.49.54.13;EReece@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
BOUR0;ARGEY TRAVAUX;LE FORUM 18 ALLE DE PROVENCE ;26300;BOURG DE PEAGE;04 75 02 78 17;04 75 71 04 72;MiraI@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
AGEX;ARGH PRESTO;6 RUE CLAUDE NICOLAS LEDOUX  ;94046;CRETEIL CEDEX;04.72.90.07.87;04.72.90.07.18;Cailin.Deacon@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
CARG;ARGOTEK;36 AVENUE PAUL KRUGER  ;69100;VILLEURBANNE;06 17 90 13 24;;Kitra.Abel@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
RHE0;ARHENA;25 B,47 B CHEMIN DE LA MOUCHE ;69230;ST GENIS LAVAL;04.72.66.97.53;;Bo.Malik@media.org;Oui;CHEQUE A RECEPTION FACTURE
ARHM;ARHUMA SERVICE ;  ;38260;GILLONNAY;;;YenB@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
ARIA;ARIANE LOCATIC;9 RUE DE LA HAIE ARRET  ;8000;PRIX LES MEZIERES;03.24.57.19.20;03.24.57.61.54;LeilaN@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
BONN1;ARNAND;12 RUE G. LADOIRE  ;69320;FEYZIN;04 78 70 78 45;;AvaO@media.org;Oui;CHEQUE A RECEPTION FACTURE
ROU1;AROUERGUE ;PETITE RUE DE LA PLAINE  ;38300;BOURGOIN JALLIEU;04.74.43.27.25;04.74.28.63.67;UMaxwell@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
PEN0;ARPENON  SAS;ZI ST GERMAIN LAPRADE BP 8 ;43700;ST GERMAIN LAPRADE;04.71.03.52.91;;T.Ethan@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
BAR01;ARQUAND SAS;ZAC DU PETIT ROSAIT RN 84 ;1120;LA BOISSE;04 78 06 17 30;04 78 06 24 26;A.Galvin@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
ART3;ARTHU7;290 RTE DE VIENNE ;69373;LYON CEDEX 08;04.26.90.10.10;04.37.90.10.10;E.Hu@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
ADIV0;ARTI.VS; 5 RUE PHILIPPE ;69008;LYON 08;06 22 17 15 56;;I.Oscar@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
ART0;ARTUDIS SAS;15 AVENUE MONTMARTIN  ;69960;CORBAS;04.26.25 00.10;04.37.25.00.11;MaggieJ@media.org;Oui;CHEQUE A RECEPTION FACTURE
ART1;ARTYSSUM;2 LA TERRASSE  ;69100;THURINS;04 78 19 06 04;;NoelI@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
CHA6;ARVINAUX;14/16, BOULEVARD D'ARAGO  ;91320;WISSOUS;01.60.11.73.30;01.60.11.73.61;NevadaB@ets.com;Oui;CHEQUE A RECEPTION FACTURE
ASH01;ASHOM SAS; 8 AVENUE AMPERE ;78180;MONTIGNY LE BRETONNEUX;04 26 42 70 10;04 37 42 70 79;ADarius@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
PRE1;ASPECT SAS;11 RUE DES IRIS  ;69630;CHAPONOST;06.22.70.09.97;;J.Cameron@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
ASS0;ASSISTANCE ATOM;119-121, GRANDE RUE  ;92318;SEVRES CEDEX;08.00.32.88.17;;A.Kane@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
AST0;ASTRAL; 22 RUE DES 2 GARES ;92564;RUEIL MALMAISON CEDEX;01.57.69.37.00;;W.Paul@media.org;Oui;CHEQUE A RECEPTION FACTURE
AST1;ASTUR'VIENNE; 101 RUE RADIOR ;1000;BOURG EN BRESSE;; ;A.Hakeem@societe.fr;Non;CHEQUE A RECEPTION FACTURE
ATD0;AT Demenagement;10 CHEMIN DU GROISON  ;77123;NOISY SUR ECOLE;01-60-66-48-34;01-60-66-48-34;JoelleP@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
CAR0;AT LOCATION;16 AVE VICTOR HUGO BP 68 ;61113;TASSIN LA 1/2 LUNE CEDEX;; ;CleoM@ets.com;Oui;CHEQUE A RECEPTION FACTURE
ATC;ATC Services;76 AVENUE DE THIONVILLE BP 30619;57146;WOIPPY CEDEX;03 87 32 54 55;03 87 31 04 16;VannaS@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
ATEL0;ATELIER SANTEY;784, AVENUE VICTOR HUGO  ;69140;RILLIEUX LA PAPE;04.78.88.20.04;;MLester@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
ATEM0;ATEMAXI ;BP10  ;67590;SCHWEIGHOUSE SUR MODER;;;V.Vincent@services.fr;Oui;CHEQUE A RECEPTION FACTURE
MAT0;ATHECHEL;20 QUAI VICTOR AUGAGNEUR  ;69003;LYON;04.78.60.71.19;;B.Bruce@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
ATI;ATILMO EXPORT;52 RUE COLLIERE  ;69780;MIONS;04 26 25 32 20;04 37 25 32 29;T.Cole@media.org;Oui;CHEQUE A RECEPTION FACTURE
AMP2;ATLANTIC VISU;RUE HECTOR BERLIOZ Z.I. LA GRAVIERE ;63200;RIOM;04 73 64 75 00;04 73 64 75 01;B.Price@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
ATLA0;ATLANTIK; 403 RUE D'ATHENES ;69140;RILLIEUX LA PAPE;04 78 94 61 62;04 78 94 26 04;CameranK@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
MERC1;ATOM  CONTRAT;2 RUE PAUL EMILE VICTOR  ;69780;MIONS;06.59.04.75.21;04.27.37.19.47;ShelleyM@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
SAT0;ATOTRANS;ZAC DE LA GRAVOUX  ;42380;LA TOURETTE;04.77.37.05.13;04.77.37.06.05;HanaeF@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
SAT01;ATOTRANS; 10 IMPASSE MALECOT ;42637;ST JEAN BONNEFONDS;04.77.49.28.81;04.77.49.28.84;KRaphael@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
ATS0;ATSopradim;RUE DU 19 MARS 1932 CIDEX 2212 ;71260;VIRE;03 85 38 91 61;;JVaughan@ent.org;Oui;CHEQUE A RECEPTION FACTURE
ATT0;ATTAFAIR;BP 104  ;69125;LYON SATOLAS;04.72.22.37.16;04.72.22.37.17;AnneD@sfr.fr;Oui;CHEQUE A RECEPTION FACTURE
AMP0;AU MARCHE BIO;13 BOULEVARD MONGE ZONE INDUSTRIELLE ;69330;MEYZIEU;04 72 45 11 00;04 72 45 11 22;L.Gannon@ets.com;Oui;CHEQUE A RECEPTION FACTURE
AULAB;AUBALBO;;69007;LYON 07;09.37.32.71.66;;E.Ashton@sfr.fr;Oui;CHEQUE A RECEPTION FACTURE
